 2.4394000000000000E+03, 1.0000000000000000E+00, 0.0000000000000000E+00,  150,  150,    2, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    0,    0, 2439.4019745643300E+00, 0.0000000000000000E+00, 0.2996878638666667E-01, 0.0000000000000000E+00             
    1,    0,-0.5790355339990000E-01, 0.0000000000000000E+00, 0.3211556424750000E-01, 0.0000000000000000E+00             
    1,    1,-0.8265286217490000E-02, 0.4539511786420000E-01, 0.2609827293100000E-01, 0.3116688254550000E-01             
    2,    0,-0.4870947271700000E+00, 0.0000000000000000E+00, 0.2500224368226667E-01, 0.0000000000000000E+00             
    2,    1, 0.1608123519700000E-02, 0.3292449200590000E-01, 0.3338767148666667E-01, 0.3523648657666666E-01             
    2,    2, 0.2749052072800000E+00,-0.1688256837600000E+00, 0.2643412195626667E-01, 0.2742470220840000E-01             
    3,    0,-0.1675570553110000E-02, 0.0000000000000000E+00, 0.2745772120220000E-01, 0.0000000000000000E+00             
    3,    1,-0.1529613549700000E+00,-0.1578732348600000E+00, 0.3193990035033333E-01, 0.2787580407170000E-01             
    3,    2,-0.1462591641780000E-01,-0.5010816916310000E-01, 0.3442727059000000E-01, 0.3311334077803333E-01             
    3,    3, 0.1343992874300000E+00,-0.5808720461570000E-01, 0.2466507529896667E-01, 0.2575933574150000E-01             
    4,    0,-0.1056214507400000E+00, 0.0000000000000000E+00, 0.2610141434233333E-01, 0.0000000000000000E+00             
    4,    1, 0.6308010119070000E-01, 0.4276641030390000E-02, 0.2935194835743334E-01, 0.3046808723406666E-01             
    4,    2, 0.3098474053120000E-01, 0.8862332507710000E-01, 0.2995820858080000E-01, 0.3251413904943333E-01             
    4,    3,-0.5831141151100000E-01,-0.7644822969970000E-01, 0.2966430270673333E-01, 0.3511345767000000E-01             
    4,    4,-0.5360110702160000E-01,-0.8506675725910000E-01, 0.2447487321646667E-01, 0.2271736936126666E-01             
    5,    0, 0.7043914933890000E-01, 0.0000000000000000E+00, 0.2879857489986666E-01, 0.0000000000000000E+00             
    5,    1,-0.5606026290770000E-01, 0.3680487620450000E-01, 0.2504397832553333E-01, 0.2762547484270000E-01             
    5,    2, 0.4044968640870000E-01, 0.3267393266040000E-01, 0.3085174431120000E-01, 0.3265209455703333E-01             
    5,    3, 0.4484038481190000E-01, 0.3191225118770000E-01, 0.2758072739456666E-01, 0.3366964155333333E-01             
    5,    4, 0.6964373610800000E-01, 0.3325784803740000E-01, 0.3159708241706666E-01, 0.3037531223293333E-01             
    5,    5, 0.4803701863010000E-01,-0.8782100495610000E-01, 0.2185301711586667E-01, 0.2232195932703333E-01             
    6,    0, 0.1290953442960000E-02, 0.0000000000000000E+00, 0.2598704763600000E-01, 0.0000000000000000E+00             
    6,    1,-0.9278487593760000E-03, 0.3403424789580000E-01, 0.2828986584186666E-01, 0.2823999711940000E-01             
    6,    2, 0.5510361935480000E-01,-0.2826682829110000E-01, 0.2997812911423333E-01, 0.2514406980486666E-01             
    6,    3,-0.1781398090850000E-01,-0.2956191259190000E-01, 0.3023651578393333E-01, 0.3391732331333333E-01             
    6,    4,-0.1099507801900000E+00,-0.1825427460850000E-03, 0.2810141527790000E-01, 0.3072641872646666E-01             
    6,    5, 0.4507485463900000E-01, 0.2973453435340000E-01, 0.2916089987846666E-01, 0.2964850156753333E-01             
    6,    6, 0.7254398647920000E-01,-0.7193166213350000E-01, 0.2074051609946666E-01, 0.2052439182473333E-01             
    7,    0,-0.5277744232160000E-01, 0.0000000000000000E+00, 0.2542336020870000E-01, 0.0000000000000000E+00             
    7,    1,-0.3699430478130000E-01,-0.8267052003720000E-01, 0.2616311252313333E-01, 0.2837705677576666E-01             
    7,    2,-0.8276809034240000E-01, 0.1061918176700000E+00, 0.2702759408360000E-01, 0.2790165098533333E-01             
    7,    3,-0.5682916991250000E-02, 0.8091693343540000E-01, 0.2581716326483333E-01, 0.3141011212066666E-01             
